id,period,sheet_name,source_row,date_display,start_date,end_date,year,title,category,item_kind,count,verification_status,public_note
TV01941,7. Dönem (2021–2026),7. DÖNEM,311,2026-04-29 00:00:00,,,2026,"Toplumsal Tarih - 377. sayı. Özel Dosya: “Ulusötesi Karşılaşmalar: Osmanlı'dan Cumhuriyet'e Teknoloji, Uzmanlık ve Emek"", Ed. Görken Akgöz, Nurçin İleri",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01942,7. Dönem (2021–2026),7. DÖNEM,313,2026-05-02 00:00:00,,,2026,Ankara: Samuel Dolbee – Sınır Tanımayan Çekirgeler,Konferans/Söyleşi,event,1,uncertain_date,
TV01943,7. Dönem (2021–2026),7. DÖNEM,314,2026-05-03 00:00:00,,,2026,Sinematek: Can Candan – Türkiye'nin Belgesel Tarihini Araştırmak,Konferans/Söyleşi,event,1,uncertain_date,
TV01944,7. Dönem (2021–2026),7. DÖNEM,315,2026-05-06 00:00:00,,,2026,"Yuvarlak Masa: Ölçek, Aktör, Sınır Üçgeninde Emek Tarihini Yeniden Düşünmek",Panel,event,1,uncertain_date,
TV01945,7. Dönem (2021–2026),7. DÖNEM,316,2026-05-07 00:00:00,,,2026,ETA Gezisi: Tophane'den Feshane'ye Emek ve Endüstri Tarihi,Gezi,event,1,uncertain_date,
TV01946,7. Dönem (2021–2026),7. DÖNEM,317,2026-05-08 00:00:00,,,2026,"Minerva: Gizem Tongo, Nilay Özlü, Ceren Abi – İşgal İstanbul'unda Kültürel Miras",Konferans/Söyleşi,event,1,uncertain_date,
TV01947,7. Dönem (2021–2026),7. DÖNEM,318,9-10 Mayıs,2026-05-09,2026-05-10,2026,Tarih Lisansüstü Öğrenci Konferansı (İBÜ & Bonn Üniversitesi),Konferans/Söyleşi,event,1,verified,
TV01948,7. Dönem (2021–2026),7. DÖNEM,319,2026-05-15 00:00:00,,,2026,Perşembe Konuşmaları: Aslı Kayhan ve diğerleri – İzmit Seka'nın Dönüşümü,Konferans/Söyleşi,event,1,uncertain_date,
TV01949,7. Dönem (2021–2026),7. DÖNEM,320,2026-05-16 00:00:00,,,2026,Ankara: Ozan Çömelekoğlu – Tanzimat'ın Medyapolisi,Konferans/Söyleşi,event,1,uncertain_date,
TV01950,7. Dönem (2021–2026),7. DÖNEM,321,2026-05-17 00:00:00,,,2026,Sinematek: Barış Saydam – Türkiye'de Sinema Tarihyazımının Gelişim Süreci,Konferans/Söyleşi,event,1,uncertain_date,
TV01951,7. Dönem (2021–2026),7. DÖNEM,322,2026-05-22 00:00:00,,,2026,Perşembe Konuşmaları: Oya İklil Selçuk ve diğerleri – Mahalle Mantarı: Ömerli Havzası,Konferans/Söyleşi,event,1,uncertain_date,
TV01952,7. Dönem (2021–2026),7. DÖNEM,323,2026-05-24 00:00:00,,,2026,Sinematek: Sonay Ban – Yakın Dönem Türkiye Sinemasında Sansür,Konferans/Söyleşi,event,1,uncertain_date,
TV01953,7. Dönem (2021–2026),7. DÖNEM,323,2026-05-24 00:00:00,,,2026,"Toplumsal Tarih - 378 sayı, Homeros'un İzinde: Mit mi Tarih mi?",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01954,7. Dönem (2021–2026),7. DÖNEM,325,2026-06-03 00:00:00,,,2026,Akl-ı Kıssa: Burcu Belli – Geç Dönem Osmanlı'da Kadın Fuhuş Politikaları,Konferans/Söyleşi,event,1.0,uncertain_date,
TV01955,7. Dönem (2021–2026),7. DÖNEM,326,12 Temmuz 2025,2025-07-12,,2025,15. Olağan Genel Kurul (?),,organizational,,uncertain_category,
TV01956,7. Dönem (2021–2026),7. DÖNEM,326,12 Temmuz 2025,2025-07-12,,2025,Toplumsal Tarih - 379. sayı. Özel Dosya: “Geç Osmanlı Dönemi'nde Uzaklara” Ed. Hamdi Genç,Dergi (Toplumsal Tarih),publication,1,verified,
TV01957,7. Dönem (2021–2026),7. DÖNEM,328,2026-07-13 00:00:00,,,2026,Adalar: Nükhet Varlık – Adalar'ın İstanbul Sağlık Hayatındaki Önemi,Konferans/Söyleşi,event,1,uncertain_date,
